Time,Pair,Side,Price,Executed,Amount,Fee
2025-10-10 23:19:12,AAVEUSDC,SELL,149.21,0.042AAVE,6.26682USDC,0.00595348USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.38,0.422AAVE,62.61636USDC,0.05948554USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,149.05,0.05AAVE,7.4525USDC,0.00707988USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,149.59,0.351AAVE,52.50609USDC,0.04988079USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.39,0.666AAVE,98.82774USDC,0.09388635USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.58,0.258AAVE,38.33364USDC,0.03641696USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,149.29,0.042AAVE,6.27018USDC,0.00595667USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.65,0.05AAVE,7.4325USDC,0.00706088USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.57,0.051AAVE,7.57707USDC,0.00719822USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,149.37,0.042AAVE,6.27354USDC,0.00595986USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.9,0.666AAVE,99.1674USDC,0.09420903USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.38,0.286AAVE,42.43668USDC,0.04031485USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,149.37,0.56AAVE,83.6472USDC,0.07946484USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,149.13,0.042AAVE,6.26346USDC,0.00595029USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.49,0.051AAVE,7.57299USDC,0.00719434USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.89,0.05AAVE,7.4445USDC,0.00707228USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.41,0.05AAVE,7.4205USDC,0.00704948USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,149.02,0.58AAVE,86.4316USDC,0.08211002USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.73,0.05AAVE,7.4365USDC,0.00706468USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,149.45,0.56AAVE,83.692USDC,0.0795074USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,149.45,0.042AAVE,6.2769USDC,0.00596306USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.97,0.05AAVE,7.4485USDC,0.00707608USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,149.01,0.666AAVE,99.24066USDC,0.09427863USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,149.09,0.286AAVE,42.63974USDC,0.04050775USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.81,0.05AAVE,7.4405USDC,0.00706848USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.54,0.286AAVE,42.48244USDC,0.04035832USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.37,0.471AAVE,69.88227USDC,0.06638816USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,149.38,0.666AAVE,99.48708USDC,0.09451273USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,149.53,0.042AAVE,6.28026USDC,0.00596625USDC
2025-10-10 23:17:01,ENAUSDC,SELL,0.3545,1156.11ENA,409.840995USDC,0.38934895USDC
2025-10-10 23:17:01,ENAUSDC,SELL,0.355,20.93ENA,7.43015USDC,0.00705864USDC
2025-10-10 23:17:01,ENAUSDC,SELL,0.3546,20.93ENA,7.421778USDC,0.00705069USDC
2025-10-10 23:17:01,ENAUSDC,SELL,0.3546,329.9ENA,116.98254USDC,0.11113341USDC
2025-10-10 23:17:01,ENAUSDC,SELL,0.3548,20.93ENA,7.425964USDC,0.00705467USDC
2025-10-07 12:02:01,PUMPUSDC,BUY,0.00629,8478PUMP,53.32662USDC,8.48PUMP
2025-09-13 06:17:57,AAVEUSDC,BUY,319,1.39AAVE,443.41USDC,0.00139AAVE
2025-09-13 06:17:57,AAVEUSDC,BUY,319,5.018AAVE,1600.742USDC,0.005018AAVE
2025-09-12 20:31:28,ENAUSDC,BUY,0.7725,1550.36ENA,1197.6531USDC,1.55036ENA
2025-09-12 00:41:15,BCHUSDC,SELL,600,1.998BCH,1198.8USDC,1.1988USDC
2025-09-09 11:32:58,BCHUSDC,BUY,587.2,0.421BCH,247.2112USDC,0.000421BCH
2025-09-09 11:32:58,BCHUSDC,BUY,587.2,1.579BCH,927.1888USDC,0.001579BCH
2025-09-01 06:33:42,AAVEUSDC,BUY,310,2.575AAVE,798.25USDC,0.002575AAVE
2025-08-25 19:25:58,AAVEUSDC,SELL,325,7.08AAVE,2301USDC,2.301USDC
2025-08-25 19:25:58,AAVEUSDC,SELL,325,2.354AAVE,765.05USDC,0.76505USDC
2025-08-22 16:09:52,AAVEUSDC,BUY,314,1.147AAVE,360.158USDC,0.001147AAVE
2025-08-22 16:09:52,AAVEUSDC,BUY,314,8.297AAVE,2605.258USDC,0.008297AAVE
2025-08-09 10:50:18,PEPEUSDC,BUY,0.00001228,81433224PEPE,999.99999072USDC,81433.22PEPE
2025-03-03 09:16:18,PEPEUSDT,SELL,0.00000835,13520942PEPE,112.8998657USDT,0.11289987USDT
2025-03-03 09:16:18,PEPEUSDT,SELL,0.00000835,103061072PEPE,860.5599512USDT,0.86055995USDT
2025-03-03 09:16:18,PEPEUSDT,SELL,0.00000835,43547229PEPE,363.61936215USDT,0.36361936USDT
2025-03-03 09:16:17,PEPEUSDT,SELL,0.00000835,33225474PEPE,277.4327079USDT,0.27743271USDT
2025-03-03 09:16:17,PEPEUSDT,SELL,0.00000835,5999000PEPE,50.09165USDT,0.05009165USDT
2025-03-03 09:16:17,PEPEUSDT,SELL,0.00000835,1799000PEPE,15.02165USDT,0.01502165USDT
2025-03-03 09:16:17,PEPEUSDT,SELL,0.00000835,5999000PEPE,50.09165USDT,0.05009165USDT
2025-03-03 09:16:17,PEPEUSDT,SELL,0.00000835,23942258PEPE,199.9178543USDT,0.19991785USDT
2025-03-03 08:48:11,PEPEUSDT,BUY,0.0000083,240963855PEPE,1999.9999965USDT,240963.86PEPE
2025-02-25 09:47:40,PEPEUSDT,SELL,0.0000076,1832613PEPE,13.9278588USDT,0.01392786USDT
2025-02-25 09:47:40,PEPEUSDT,SELL,0.0000076,2260143PEPE,17.1770868USDT,0.01717709USDT
2025-02-25 09:47:39,PEPEUSDT,SELL,0.0000076,40076353PEPE,304.5802828USDT,0.30458028USDT
2025-02-18 21:48:33,SOLUSDT,SELL,166,5.518SOL,915.988USDT,0.915988USDT
2025-02-17 07:24:23,SOLUSDT,BUY,181,5.524SOL,999.844USDT,0.005524SOL
2025-02-04 00:05:54,PEPEUSDT,BUY,0.00001131,44208664PEPE,499.99998984USDT,44208.66PEPE
2025-02-03 04:37:19,PEPEUSDT,SELL,0.000009,351313650PEPE,3161.82285USDT,3.16182285USDT
2025-02-02 21:19:56,WLDUSDC,SELL,1.39,371.9WLD,516.941USDC,0.516941USDC
2025-02-02 21:19:56,WLDUSDC,SELL,1.39,179.9WLD,250.061USDC,0.250061USDC
2025-01-31 16:49:39,WLDUSDT,BUY,1.81,552.4WLD,999.844USDT,0.5524WLD
2025-01-30 17:06:12,PEPEUSDC,BUY,0.00001334,23101000PEPE,308.16734USDC,21945.95PEPE
2025-01-30 17:06:12,PEPEUSDC,BUY,0.00001335,25624675PEPE,342.08941125USDC,24343.44PEPE
2025-01-30 17:06:12,PEPEUSDC,BUY,0.00001335,114750000PEPE,1531.9125USDC,109012.5PEPE
2025-01-30 17:06:12,PEPEUSDC,BUY,0.00001335,37401561PEPE,499.31083935USDC,35531.48PEPE
2025-01-30 17:06:12,PEPEUSDC,BUY,0.00001334,36019614PEPE,480.50165076USDC,34218.63PEPE
2025-01-30 17:06:12,PEPEUSDC,BUY,0.00001335,114750000PEPE,1531.9125USDC,109012.5PEPE
2025-01-27 02:03:32,FLOKIUSDC,SELL,0.000128,32777677FLOKI,4195.542656USDC,4.19554266USDC
2025-01-27 02:03:32,FLOKIUSDC,SELL,0.000128,3922855FLOKI,502.12544USDC,0.50212544USDC
2025-01-24 15:09:18,FLOKIUSDC,BUY,0.0001429,3630606FLOKI,518.8135974USDC,3630.61FLOKI
2025-01-24 15:09:18,FLOKIUSDC,BUY,0.0001429,933504FLOKI,133.3977216USDC,933.5FLOKI
2025-01-24 15:09:18,FLOKIUSDC,BUY,0.0001429,1432176FLOKI,204.6579504USDC,1432.18FLOKI
2025-01-24 15:09:18,FLOKIUSDC,BUY,0.0001429,4093000FLOKI,584.8897USDC,4093FLOKI
2025-01-24 15:09:18,FLOKIUSDC,BUY,0.0001429,9148076FLOKI,1307.2600604USDC,9148.08FLOKI
2025-01-24 15:09:14,FLOKIUSDC,BUY,0.0001429,3564372FLOKI,509.3487588USDC,3564.37FLOKI
2025-01-24 15:09:14,FLOKIUSDC,BUY,0.0001429,3639667FLOKI,520.1084143USDC,3639.67FLOKI
2025-01-24 15:09:13,FLOKIUSDC,BUY,0.0001429,189003FLOKI,27.0085287USDC,189FLOKI
2025-01-24 15:09:13,FLOKIUSDC,BUY,0.0001429,3593137FLOKI,513.4592773USDC,3593.14FLOKI
2025-01-24 15:09:13,FLOKIUSDC,BUY,0.0001429,3746262FLOKI,535.3408398USDC,3746.26FLOKI
2025-01-24 15:09:13,FLOKIUSDC,BUY,0.0001429,1074243FLOKI,153.5093247USDC,1074.24FLOKI
2025-01-24 15:09:12,FLOKIUSDC,BUY,0.0001429,70504FLOKI,10.0750216USDC,70.5FLOKI
2025-01-24 15:09:12,FLOKIUSDC,BUY,0.0001429,189003FLOKI,27.0085287USDC,189FLOKI
2025-01-24 15:09:12,FLOKIUSDC,BUY,0.0001429,14748FLOKI,2.1074892USDC,14.75FLOKI
2025-01-24 15:09:12,FLOKIUSDC,BUY,0.0001429,188990FLOKI,27.006671USDC,188.99FLOKI
2025-01-24 15:09:12,FLOKIUSDC,BUY,0.0001429,189003FLOKI,27.0085287USDC,189FLOKI
2025-01-24 15:09:12,FLOKIUSDC,BUY,0.0001429,189003FLOKI,27.0085287USDC,189FLOKI
2025-01-24 15:09:12,FLOKIUSDC,BUY,0.0001429,200000FLOKI,28.58USDC,200FLOKI
2025-01-24 15:09:12,FLOKIUSDC,BUY,0.0001429,189003FLOKI,27.0085287USDC,189FLOKI
2025-01-24 15:09:12,FLOKIUSDC,BUY,0.0001429,14748FLOKI,2.1074892USDC,14.75FLOKI
2025-01-24 15:09:12,FLOKIUSDC,BUY,0.0001429,200000FLOKI,28.58USDC,200FLOKI
2025-01-24 15:08:45,FLOKIUSDC,BUY,0.0001429,47423FLOKI,6.7767467USDC,47.42FLOKI
2025-01-24 15:08:45,FLOKIUSDC,BUY,0.0001429,200000FLOKI,28.58USDC,200FLOKI
2025-01-23 09:19:18,PEPEUSDC,SELL,0.000015,73575112PEPE,1103.62668USDC,1.10362668USDC
2025-01-23 09:19:18,PEPEUSDC,SELL,0.000015,276393508PEPE,4145.90262USDC,4.14590262USDC
2025-01-23 09:17:34,DOTUSDT,SELL,6.32,147.7DOT,933.464USDT,0.933464USDT
2025-01-23 09:17:34,DOTUSDT,SELL,6.32,62.01DOT,391.9032USDT,0.3919032USDT
2025-01-23 09:17:34,DOTUSDT,SELL,6.32,17.32DOT,109.4624USDT,0.1094624USDT
2025-01-23 09:17:34,DOTUSDT,SELL,6.32,130.45DOT,824.444USDT,0.824444USDT
2025-01-23 09:16:34,DOTUSDT,SELL,6.32,12.92DOT,81.6544USDT,0.0816544USDT
2025-01-17 10:57:13,BNBUSDC,SELL,720,0.007BNB,5.04USDC,0.00504USDC
2025-01-15 19:52:47,DOTUSDT,BUY,6.89,370.77DOT,2554.6053USDT,0.37077DOT
2025-01-15 15:30:38,PEPEUSDC,BUY,0.00001765,291545PEPE,5.14576925USDC,291.55PEPE
2025-01-15 15:30:38,PEPEUSDC,BUY,0.00001764,45338625PEPE,799.773345USDC,43071.69PEPE
2025-01-15 15:30:38,PEPEUSDC,BUY,0.00001765,116009PEPE,2.04755885USDC,116.01PEPE
2025-01-15 15:30:38,PEPEUSDC,BUY,0.00001765,434530PEPE,7.6694545USDC,434.53PEPE
2025-01-15 15:30:38,PEPEUSDC,BUY,0.00001765,22662889PEPE,399.99999085USDC,21529.74PEPE
2025-01-15 15:30:38,PEPEUSDC,BUY,0.00001765,172811PEPE,3.05011415USDC,172.81PEPE
2025-01-15 15:30:38,PEPEUSDC,BUY,0.00001763,39445569PEPE,695.42538147USDC,37473.29PEPE
2025-01-15 15:30:38,PEPEUSDC,BUY,0.00001765,83936946PEPE,1481.4870969USDC,83936.95PEPE
2025-01-15 15:30:38,PEPEUSDC,BUY,0.00001764,54000000PEPE,952.56USDC,51300PEPE
2025-01-15 15:30:38,PEPEUSDC,BUY,0.00001765,2879500PEPE,50.823175USDC,2879.5PEPE
2025-01-15 15:30:38,PEPEUSDC,BUY,0.00001765,36629377PEPE,646.50850405USDC,34797.91PEPE
2025-01-15 15:30:38,PEPEUSDC,BUY,0.00001763,54000000PEPE,952.02USDC,51300PEPE
2025-01-15 15:30:38,PEPEUSDC,BUY,0.00001765,10225000PEPE,180.47125USDC,9713.75PEPE
2025-01-15 15:30:38,PEPEUSDC,BUY,0.00001765,173010PEPE,3.0536265USDC,173.01PEPE
2025-01-13 14:07:03,DOTUSDT,SELL,6.1,419.21DOT,2557.181USDT,2.557181USDT
2025-01-13 14:06:04,BIOUSDC,SELL,0.3746,1353BIO,506.8338USDC,0.5068338USDC
2025-01-13 14:06:04,BIOUSDC,SELL,0.3746,1242.6BIO,465.47796USDC,0.46547796USDC
2025-01-13 14:06:04,BIOUSDC,SELL,0.3746,34.7BIO,12.99862USDC,0.01299862USDC
2025-01-10 07:36:23,PEPEUSDC,SELL,0.00001747,93047185PEPE,1625.53432195USDC,1.62553432USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,153498FLOKI,25.2811206USDC,0.02528112USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,14748FLOKI,2.4289956USDC,0.002429USDC
2025-01-10 07:35:47,FLOKIUSDC,SELL,0.0001647,200000FLOKI,32.94USDC,0.03294USDC
